Connecting to host vps.wood.ninja, port 5201
[  5] local 10.1.101.130 port 60548 connected to 50.116.48.94 port 5201
[  5] 121.00-122.00 sec  31.2 MBytes   262 Mbits/sec    0    740 KBytes       
[  5] 122.00-123.00 sec  31.2 MBytes   262 Mbits/sec    0    771 KBytes       
[  5] 123.00-124.00 sec  30.0 MBytes   252 Mbits/sec    0    798 KBytes       
[  5] 124.00-125.00 sec  47.5 MBytes   398 Mbits/sec    0    840 KBytes       
[  5] 125.00-126.00 sec  50.0 MBytes   419 Mbits/sec   43    617 KBytes       
[  5] 126.00-127.00 sec  48.8 MBytes   409 Mbits/sec    1    704 KBytes       
[  5] 127.00-128.00 sec  46.2 MBytes   388 Mbits/sec    0    771 KBytes       
[  5] 128.00-129.00 sec  48.8 MBytes   409 Mbits/sec    0    819 KBytes       
[  5] 129.00-130.00 sec  48.8 MBytes   409 Mbits/sec    0    850 KBytes       
[  5] 130.00-131.00 sec  51.2 MBytes   430 Mbits/sec    0    868 KBytes       
[  5] 131.00-132.00 sec  36.2 MBytes   304 Mbits/sec   70    469 KBytes       
[  5] 132.00-133.00 sec  40.0 MBytes   336 Mbits/sec    0    526 KBytes       
[  5] 133.00-134.00 sec  47.5 MBytes   398 Mbits/sec    0    590 KBytes       
[  5] 134.00-135.00 sec  47.5 MBytes   398 Mbits/sec    0    645 KBytes       
[  5] 135.00-136.00 sec  50.0 MBytes   419 Mbits/sec    0    699 KBytes       
[  5] 136.00-137.00 sec  52.5 MBytes   440 Mbits/sec    0    752 KBytes       
[  5] 137.00-138.00 sec  50.0 MBytes   419 Mbits/sec    0    799 KBytes       
[  5] 138.00-139.00 sec  50.0 MBytes   419 Mbits/sec    0    843 KBytes       
[  5] 139.00-140.00 sec  52.5 MBytes   440 Mbits/sec    0    887 KBytes       
[  5] 140.00-141.00 sec  50.0 MBytes   419 Mbits/sec    0    927 KBytes       
[  5] 141.00-142.00 sec  46.2 MBytes   388 Mbits/sec  131    485 KBytes       
[  5] 142.00-143.00 sec  33.8 MBytes   283 Mbits/sec    0    533 KBytes       
[  5] 143.00-144.00 sec  31.2 MBytes   262 Mbits/sec    0    573 KBytes       
[  5] 144.00-145.00 sec  20.0 MBytes   168 Mbits/sec   26    597 KBytes       
[  5] 145.00-146.00 sec  17.5 MBytes   147 Mbits/sec    0    619 KBytes       
[  5] 146.00-147.00 sec  36.2 MBytes   304 Mbits/sec    0    657 KBytes       
[  5] 147.00-148.00 sec  33.8 MBytes   283 Mbits/sec   39    374 KBytes       
[  5] 148.00-149.00 sec  28.8 MBytes   241 Mbits/sec    0    425 KBytes       
[  5] 149.00-150.00 sec  33.8 MBytes   283 Mbits/sec    0    478 KBytes       
[  5] 150.00-151.00 sec  30.0 MBytes   252 Mbits/sec    0    524 KBytes       
[  5] 151.00-152.00 sec  33.8 MBytes   283 Mbits/sec    0    568 KBytes       
[  5] 152.00-153.00 sec  41.2 MBytes   346 Mbits/sec    0    619 KBytes       
[  5] 153.00-154.00 sec  42.5 MBytes   357 Mbits/sec    0    667 KBytes       
[  5] 154.00-155.00 sec  26.2 MBytes   220 Mbits/sec    0    696 KBytes       
[  5] 155.00-156.00 sec  31.2 MBytes   262 Mbits/sec    0    725 KBytes       
[  5] 156.00-157.00 sec  33.8 MBytes   282 Mbits/sec  151    560 KBytes       
[  5] 157.00-158.00 sec  15.0 MBytes   126 Mbits/sec   34    433 KBytes       
[  5] 158.00-159.00 sec  28.8 MBytes   241 Mbits/sec    0    469 KBytes       
[  5] 159.00-160.00 sec  25.0 MBytes   210 Mbits/sec    0    506 KBytes       
[  5] 160.00-161.00 sec  26.2 MBytes   220 Mbits/sec    0    542 KBytes       
[  5] 161.00-162.00 sec  35.0 MBytes   294 Mbits/sec    0    588 KBytes       
[  5] 162.00-163.00 sec  46.2 MBytes   388 Mbits/sec    0    643 KBytes       
[  5] 163.00-164.00 sec  50.0 MBytes   419 Mbits/sec    0    696 KBytes       
[  5] 164.00-165.00 sec  47.5 MBytes   398 Mbits/sec    0    744 KBytes       
[  5] 165.00-166.00 sec  52.5 MBytes   440 Mbits/sec    0    794 KBytes       
[  5] 166.00-167.00 sec  52.5 MBytes   440 Mbits/sec    0    840 KBytes       
[  5] 167.00-168.00 sec  53.8 MBytes   451 Mbits/sec    0    886 KBytes       
[  5] 168.00-169.00 sec  52.5 MBytes   440 Mbits/sec    0    928 KBytes       
[  5] 169.00-170.00 sec  47.5 MBytes   398 Mbits/sec    0    965 KBytes       
[  5] 170.00-171.00 sec  52.5 MBytes   440 Mbits/sec    0   1003 KBytes       
[  5] 171.00-172.00 sec  52.5 MBytes   440 Mbits/sec    0   1.02 MBytes       
[  5] 172.00-173.00 sec  42.5 MBytes   357 Mbits/sec   13    541 KBytes       
[  5] 173.00-174.00 sec  30.0 MBytes   252 Mbits/sec    0    580 KBytes       
[  5] 174.00-175.00 sec  28.8 MBytes   241 Mbits/sec    0    609 KBytes       
[  5] 175.00-176.00 sec  32.5 MBytes   273 Mbits/sec    0    647 KBytes       
[  5] 176.00-177.00 sec  31.2 MBytes   262 Mbits/sec    0    680 KBytes       
[  5] 177.00-178.00 sec  32.5 MBytes   273 Mbits/sec    0    713 KBytes       
[  5] 178.00-179.00 sec  31.2 MBytes   262 Mbits/sec    0    745 KBytes       
[  5] 179.00-180.00 sec  40.0 MBytes   336 Mbits/sec    0    783 KBytes       
[  5] 180.00-181.00 sec  47.5 MBytes   398 Mbits/sec    0    824 KBytes       
[  5] 181.00-182.00 sec  52.5 MBytes   440 Mbits/sec    0    871 KBytes       
[  5] 182.00-183.00 sec  47.5 MBytes   398 Mbits/sec    0    910 KBytes       
[  5] 183.00-184.00 sec  53.8 MBytes   451 Mbits/sec    0    953 KBytes       
[  5] 184.00-185.00 sec  43.8 MBytes   367 Mbits/sec   24    727 KBytes       
[  5] 185.00-186.00 sec  33.8 MBytes   283 Mbits/sec    0    807 KBytes       
[  5] 186.00-187.00 sec  52.5 MBytes   440 Mbits/sec    0    868 KBytes       
[  5] 187.00-188.00 sec  33.8 MBytes   283 Mbits/sec   60    335 KBytes       
[  5] 188.00-189.00 sec  33.8 MBytes   283 Mbits/sec    0    402 KBytes       
[  5] 189.00-190.00 sec  33.8 MBytes   283 Mbits/sec  112    327 KBytes       
[  5] 190.00-191.00 sec  33.8 MBytes   283 Mbits/sec    0    397 KBytes       
[  5] 191.00-192.00 sec  38.8 MBytes   325 Mbits/sec    0    461 KBytes       
[  5] 192.00-193.00 sec  43.8 MBytes   367 Mbits/sec    0    525 KBytes       
[  5] 193.00-194.00 sec  46.2 MBytes   388 Mbits/sec    0    586 KBytes       
[  5] 194.00-195.00 sec  50.0 MBytes   419 Mbits/sec    0    647 KBytes       
[  5] 195.00-196.00 sec  36.2 MBytes   304 Mbits/sec   93    374 KBytes       
[  5] 196.00-197.00 sec  37.5 MBytes   315 Mbits/sec    0    442 KBytes       
[  5] 197.00-198.00 sec  42.5 MBytes   357 Mbits/sec    0    506 KBytes       
[  5] 198.00-199.00 sec  50.0 MBytes   419 Mbits/sec    0    574 KBytes       
[  5] 199.00-200.00 sec  50.0 MBytes   419 Mbits/sec    0    633 KBytes       
[  5] 200.00-201.00 sec  40.0 MBytes   336 Mbits/sec   98    350 KBytes       
[  5] 201.00-202.00 sec  36.2 MBytes   304 Mbits/sec    0    419 KBytes       
[  5] 202.00-203.00 sec  42.5 MBytes   357 Mbits/sec    0    488 KBytes       
[  5] 203.00-204.00 sec  43.8 MBytes   367 Mbits/sec    0    548 KBytes       
[  5] 204.00-205.00 sec  43.8 MBytes   367 Mbits/sec   70    438 KBytes       
[  5] 205.00-206.00 sec  43.8 MBytes   367 Mbits/sec    0    501 KBytes       
[  5] 206.00-207.00 sec  45.0 MBytes   377 Mbits/sec    0    564 KBytes       
[  5] 207.00-208.00 sec  47.5 MBytes   398 Mbits/sec   25    442 KBytes       
[  5] 208.00-209.00 sec  41.2 MBytes   346 Mbits/sec    0    506 KBytes       
[  5] 209.00-210.00 sec  45.0 MBytes   378 Mbits/sec    0    564 KBytes       
[  5] 210.00-211.00 sec  45.0 MBytes   377 Mbits/sec    0    619 KBytes       
[  5] 211.00-212.00 sec  26.2 MBytes   220 Mbits/sec    0    648 KBytes       
[  5] 212.00-213.00 sec  40.0 MBytes   336 Mbits/sec    0    692 KBytes       
[  5] 213.00-214.00 sec  51.2 MBytes   430 Mbits/sec  121    365 KBytes       
[  5] 214.00-215.00 sec  38.8 MBytes   325 Mbits/sec    0    433 KBytes       
[  5] 215.00-216.00 sec  36.2 MBytes   304 Mbits/sec   35    359 KBytes       
[  5] 216.00-217.00 sec  33.8 MBytes   283 Mbits/sec    0    421 KBytes       
[  5] 217.00-218.00 sec  37.5 MBytes   315 Mbits/sec    0    484 KBytes       
[  5] 218.00-219.00 sec  41.2 MBytes   346 Mbits/sec    0    540 KBytes       
[  5] 219.00-220.00 sec  43.8 MBytes   367 Mbits/sec    0    596 KBytes       
[  5] 220.00-221.00 sec  52.5 MBytes   440 Mbits/sec    0    659 KBytes       
[  5] 221.00-222.00 sec  43.8 MBytes   367 Mbits/sec    0    705 KBytes       
[  5] 222.00-223.00 sec  52.5 MBytes   440 Mbits/sec    0    756 KBytes       
[  5] 223.00-224.00 sec  52.5 MBytes   440 Mbits/sec   53    569 KBytes       
[  5] 224.00-225.00 sec  43.8 MBytes   367 Mbits/sec    0    651 KBytes       
[  5] 225.00-226.00 sec  46.2 MBytes   388 Mbits/sec    3    671 KBytes       
[  5] 226.00-227.00 sec  43.8 MBytes   367 Mbits/sec   11    552 KBytes       
[  5] 227.00-228.00 sec  43.8 MBytes   367 Mbits/sec    0    608 KBytes       
[  5] 228.00-229.00 sec  40.0 MBytes   336 Mbits/sec    3    492 KBytes       
[  5] 229.00-230.00 sec  47.5 MBytes   398 Mbits/sec    0    548 KBytes       
[  5] 230.00-231.00 sec  50.0 MBytes   419 Mbits/sec    0    611 KBytes       
[  5] 231.00-232.00 sec  52.5 MBytes   440 Mbits/sec    0    671 KBytes       
[  5] 232.00-233.00 sec  52.5 MBytes   440 Mbits/sec    0    725 KBytes       
[  5] 233.00-234.00 sec  51.2 MBytes   430 Mbits/sec    0    776 KBytes       
[  5] 234.00-235.00 sec  43.8 MBytes   367 Mbits/sec    9    425 KBytes       
[  5] 235.00-236.00 sec  42.5 MBytes   357 Mbits/sec    0    493 KBytes       
[  5] 236.00-237.00 sec  47.5 MBytes   398 Mbits/sec    0    557 KBytes       
[  5] 237.00-238.00 sec  51.2 MBytes   430 Mbits/sec    0    621 KBytes       
[  5] 238.00-239.00 sec  50.0 MBytes   419 Mbits/sec    0    679 KBytes       
[  5] 239.00-240.00 sec  52.5 MBytes   440 Mbits/sec    0    732 KBytes       
[  5] 240.00-241.00 sec  52.5 MBytes   440 Mbits/sec   33    546 KBytes       
[  5] 241.00-242.00 sec  51.2 MBytes   430 Mbits/sec    0    628 KBytes       
[  5] 242.00-243.00 sec  45.0 MBytes   378 Mbits/sec   21    496 KBytes       
[  5] 243.00-244.00 sec  45.0 MBytes   377 Mbits/sec    0    558 KBytes       
[  5] 244.00-245.00 sec  52.5 MBytes   440 Mbits/sec    0    623 KBytes       
[  5] 245.00-246.00 sec  50.0 MBytes   420 Mbits/sec    0    680 KBytes       
[  5] 246.00-247.00 sec  48.8 MBytes   409 Mbits/sec    0    729 KBytes       
[  5] 247.00-248.00 sec  52.5 MBytes   440 Mbits/sec    0    780 KBytes       
[  5] 248.00-249.00 sec  31.2 MBytes   262 Mbits/sec  244    226 KBytes       
[  5] 249.00-250.00 sec  23.8 MBytes   199 Mbits/sec    0    293 KBytes       
[  5] 250.00-251.00 sec  30.0 MBytes   252 Mbits/sec    0    361 KBytes       
[  5] 251.00-252.00 sec  37.5 MBytes   315 Mbits/sec    0    429 KBytes       
[  5] 252.00-253.00 sec  41.2 MBytes   346 Mbits/sec    0    494 KBytes       
[  5] 253.00-254.00 sec  45.0 MBytes   377 Mbits/sec    0    557 KBytes       
[  5] 254.00-255.00 sec  50.0 MBytes   419 Mbits/sec    0    619 KBytes       
[  5] 255.00-256.00 sec  50.0 MBytes   419 Mbits/sec    0    675 KBytes       
[  5] 256.00-257.00 sec  50.0 MBytes   419 Mbits/sec    0    727 KBytes       
[  5] 257.00-258.00 sec  46.2 MBytes   388 Mbits/sec   22    377 KBytes       
[  5] 258.00-259.00 sec  36.2 MBytes   304 Mbits/sec    0    440 KBytes       
[  5] 259.00-260.00 sec  42.5 MBytes   357 Mbits/sec    0    505 KBytes       
[  5] 260.00-261.00 sec  42.5 MBytes   357 Mbits/sec    0    564 KBytes       
[  5] 261.00-262.00 sec  48.8 MBytes   409 Mbits/sec    0    624 KBytes       
[  5] 262.00-263.00 sec  48.8 MBytes   409 Mbits/sec   16    485 KBytes       
