268438940            7264518             01:51:16 Jan 20 2022     13:27:44 Jan 10 2024     
268438684            74907               00:35:39 Jan 22 2022     04:25:19 Jan 10 2024     
268438941            117638              01:59:22 Jan 20 2022     13:22:25 Jan 10 2024     
268438685            10571               00:11:58 Jan 22 2022     04:19:12 Jan 10 2024     
268438942            35011               02:11:24 Jan 20 2022     13:14:26 Jan 10 2024     
268438943            985067698           01:51:15 Jan 20 2022     13:28:00 Jan 10 2024     
268438944            29817850            01:51:16 Jan 20 2022     13:27:56 Jan 10 2024     
268438690            897                 04:55:57 Jan 26 2022     01:09:04 Jan 10 2024     
268438947            499                 10:08:39 Jan 22 2022     14:37:11 Jan 9 2024     
268438948            136534              22:18:12 Jan 21 2022     13:19:44 Jan 10 2024     
268438949            417492              07:38:34 Jan 22 2022     13:24:59 Jan 10 2024     
268438950            24555               23:58:09 Jan 21 2022     13:03:16 Jan 10 2024     
268438951            4744789             01:52:46 Jan 20 2022     13:27:58 Jan 10 2024     
268438696            3381301             01:51:23 Jan 20 2022     13:27:55 Jan 10 2024     
268438952            1318616             01:52:55 Jan 20 2022     13:27:46 Jan 10 2024     
268438954            25960053            01:51:16 Jan 20 2022     13:27:55 Jan 10 2024     
268438698            72655               00:50:28 Jan 22 2022     13:27:41 Jan 10 2024     
268438955            8                   21:06:38 Feb 1 2022     06:49:54 Oct 13 2023     
268438699            311                 22:24:46 Jan 24 2022     16:01:07 Dec 12 2023     
268438956            16947               23:56:34 Jan 21 2022     13:23:28 Jan 10 2024     
268438958            2                   00:43:50 Dec 13 2022     10:19:30 Sep 12 2023     
268438702            330                 20:32:45 Jan 23 2022     10:43:35 Nov 30 2023     
268438959            131352              00:21:20 Jan 22 2022     01:18:02 Jan 1 2024     
268438703            280494              01:58:22 Jan 20 2022     13:24:13 Jan 10 2024     
268438704            1503188             04:39:03 Mar 8 2022     13:27:30 Jan 10 2024     
268438960            2088381             01:55:42 Jan 20 2022     13:27:12 Jan 10 2024     
268438705            4361270             01:51:27 Jan 20 2022     13:27:54 Jan 10 2024     
268438961            216252              01:55:45 Jan 20 2022     13:16:06 Jan 10 2024     
268438964            396299              23:58:11 Jan 21 2022     13:27:50 Jan 10 2024     
268438710            15030264            01:51:20 Jan 20 2022     13:27:56 Jan 10 2024     
268438715            890491              01:49:08 Jan 20 2022     03:34:53 Jun 16 2022     
268438718            52                  07:43:12 Mar 1 2022     10:01:51 May 19 2022     
268438721            45541654            01:48:23 Jan 20 2022     05:02:22 Aug 4 2022     
268438722            18659309            01:48:24 Jan 20 2022     05:05:16 Aug 4 2022     
268438723            16963618            01:51:27 Jan 20 2022     13:25:35 Jan 10 2024     
268438724            278837              01:52:48 Jan 20 2022     13:25:55 Jan 10 2024     
268438725            360795              01:52:47 Jan 20 2022     13:24:30 Jan 10 2024     
268438728            469                 10:54:56 May 3 2023     20:01:53 Jan 9 2024     
268438729            61865515            01:51:15 Jan 20 2022     13:28:00 Jan 10 2024     
268438730            2901721             00:43:01 Jan 22 2022     13:27:37 Jan 10 2024     
268438731            20962093            01:51:23 Jan 20 2022     13:27:53 Jan 10 2024     
268438734            7620                07:12:58 Jan 24 2022     12:10:29 Nov 30 2023     
268438738            8780                11:46:11 Jan 22 2022     12:59:25 Jan 10 2024     
268438740            224325026           01:51:16 Jan 20 2022     13:28:00 Jan 10 2024     
268438748            51735               22:25:58 Jan 21 2022     13:17:08 Jan 10 2024     
268438749            219608              22:18:12 Jan 21 2022     13:14:25 Jan 10 2024     
268438751            1192286             01:50:41 Jan 20 2022     07:19:37 Sep 28 2023     
268438752            692                 20:55:17 Jan 23 2022     05:34:15 Sep 19 2023     
268438753            2541526             01:51:16 Jan 20 2022     13:27:56 Jan 10 2024     
268438754            121996431           01:51:17 Jan 20 2022     13:27:59 Jan 10 2024     
268438758            4803305             07:07:25 Oct 27 2023     13:28:00 Jan 10 2024     
268438760            9425999             01:50:25 Jan 20 2022     11:59:06 Oct 18 2023     
268438762            43404995            01:51:15 Jan 20 2022     13:27:55 Jan 10 2024     
268438763            2269497149          01:51:15 Jan 20 2022     13:28:00 Jan 10 2024     
268438769            15171828            01:51:21 Jan 20 2022     13:27:56 Jan 10 2024     
268438770            7066356             01:51:12 Jan 20 2022     13:27:55 Jan 10 2024     
268438775            76329               22:33:54 Jan 21 2022     13:22:29 Jan 10 2024     
268438776            12907               22:19:37 Jan 21 2022     07:11:18 Jun 21 2023     
268439033            127645              22:18:10 Jan 21 2022     13:03:16 Jan 10 2024     
268439038            142880              23:08:17 Jan 21 2022     12:29:44 Jan 10 2024  
